id,name,aliases
401901401,ゴブリングレート,[]
401901402,ライライ,[]
401901403,ムーバ,[]
401901404,ネプテリオンC,[]
401901408,水瓶,[]
401902401,ワイバーン,[]
401902402,ランドスロース,[]
401902403,ニードルクリーパー,[]
401902404,ソードコブラ部位C,[]
401902408,トルペドン,[]
401903401,フロストハウンドC,[]
401903405,デミ・カリド,[]
401903406,イワノヅチ,[]
401903407,バジリスク・アロス,[]
401903408,メサルティム,[]
401904401,リビングメイル,[]
401904402,タフガイストC,[]
401904406,レイスコレクター,[]
401904407,ティタノタートル,[]
401904411,ミノタウロス,[]
401905401,マダムエレクトラ,[]
401905402,ワイルドグリフォン,[]
401905403,オークチーフ,[]
401905404,オブシダンワイバーンC,[]
401905408,ツインピッグスD,[]
401906401,ゴブリングレート,[]
401906402,ライライ,[]
401906403,ロクス・フォートレスC,[]
401906407,ゴブリンソーサラー,[]
401906408,カルキノス,[]
401907401,ワイバーン,[]
401907402,デミ・カリド,[]
401907403,ライデン部位C,[]
401907407,スピリットホーン,[]
401907408,オルレオンC,[]
401908401,マダムエレクトラ,[]
401908402,ミストシーカー,[]
401908403,バイオドーザー,[]
401908404,トライロッカーC,[]
401908408,メデューサ,[]
