id,name,aliases
100101,Hiyori,[]
100201,Yui,[]
100301,Rei,[]
100401,Misogi,[]
100501,Matsuri,[]
100601,Akari,[]
100701,Miyako,[]
100801,Yuki,[]
100901,Anna,[]
101001,Maho,[]
101101,Rino,[]
101201,Hatsune,[]
101301,Nanaka,[]
101401,Kasumi,[]
101501,Misato,[]
101601,Suzuna,[]
101701,Kaori,[]
101801,Io,[]
102001,Mimi,[]
102101,Kurumi,[]
102201,Yori,[]
102301,Ayane,[]
102501,Suzume,[]
102601,Rin,[]
102701,Eriko,[]
102801,Saren,[]
102901,Nozomi,[]
103001,Ninon,[]
103101,Shinobu,[]
103201,Akino,[]
103301,Mahiru,[]
103401,Yukari,[]
103601,Kyouka,[]
103701,Tomo,[]
103801,Shiori,[]
104001,Aoi,[]
104201,Chika,[]
104301,Makoto,[]
104401,Illya,[]
104501,Kuuka,[]
104601,Tamaki,[]
104701,Jun,[]
104801,Mifuyu,[]
104901,Shizuru,[]
105001,Misaki,[]
105101,Mitsuki,[]
105201,Lima,[]
105301,Monika,[]
105401,Tsumugi,[]
105501,Ayumi,[]
105601,Ruka,[]
105701,Djeeta,[]
105801,Pecorine,[]
105901,Kokkoro,[]
106001,Kyaru,[]
106101,Muimi,[]
106301,Arisa,[]
106401,Sheffy,[]
106501,Kaya,[]
106601,Inori,[]
106701,Homare,[]
106801,Labyrista,[]
106901,Kaiser Insight,[]
107001,Neneka,[]
107101,Christina,[]
107501,Pecorine (Summer),[]
107601,Kokkoro (Summer),[]
107701,Suzume (Summer),[]
107801,Kyaru (Summer),[]
107901,Tamaki (Summer),[]
108001,Mifuyu (Summer),[]
108101,Shinobu (Halloween),[]
108201,Miyako (Halloween),[]
108301,Misaki (Halloween),[]
108401,Chika (Christmas),[]
108501,Kurumi (Christmas),[]
108601,Ayane (Christmas),[]
108701,Hiyori (New Year),[]
108801,Yui (New Year),[]
108901,Rei (New Year),[]
109001,Eriko (Valentine),[]
109101,Shizuru (Valentine),[]
109201,Anne,[]
109301,Lou,[]
109401,Grea,[]
109501,Kuuka (Ooedo),[]
109601,Ninon (Ooedo),[]
109701,Rem,[]
109801,Ram,[]
109901,Emilia,[]
110001,Suzuna (Summer),[]
110101,Io (Summer),[]
110201,Misaki (Summer),[]
110301,Saren (Summer),[]
110401,Makoto (Summer),[]
110501,Kaori (Summer),[]
110601,Maho (Summer),[]
110701,Aoi (Student),[]
110801,Chloe,[]
110901,Chieru,[]
111001,Yuni,[]
111101,Kyouka (Halloween),[]
111201,Misogi (Halloween),[]
111301,Mimi (Halloween),[]
111401,Luna,[]
111501,Christina (Christmas),[]
111601,Nozomi (Christmas),[]
111701,Illya (Christmas),[]
111801,Pecorine (New Year),[]
111901,Kokkoro (New Year),[]
112001,Kyaru (New Year),[]
112101,Suzume (New Year),[]
112201,Kasumi (Magical Girl),[]
112301,Shiori (Magical Girl),[]
112401,Uzuki (IM@S CG),[]
112501,Rin (IM@S CG),[]
112601,Mio (IM@S CG),[]
112701,Rin (Ranger),[]
112801,Mahiru (Ranger),[]
112901,Rino (Wonderland),[]
113001,Ayumi (Wonderland),[]
113101,Ruka (Summer),[]
113201,Anna (Summer),[]
113301,Nanaka (Summer),[]
113401,Hatsune (Summer),[]
113501,Misato (Summer),[]
